index,start,end,duration,speaker,text
0,0.0,29.66,29.66,SPEAKER_01,"What you're proposing, or what the President is proposing here, does not sound like it's in keeping with American tradition when it comes to immigration. The Statue of Liberty says, give me your tired, your poor, your huddled masses, yearning to breathe free. It doesn't say anything about speaking English or being able to be a computer programmer. Aren't you trying to change what it means to be an immigrant coming into this country if you're telling them you have to speak English? Can't people learn how to speak English when they get here? Well,"
1,29.82,55.64,25.82,SPEAKER_02,"first of all, right now, it's a requirement that to be naturalized, you have to speak English. So the notion that speaking English wouldn't be a part of our immigration systems would be actually very ahistorical. Secondly, I don't want to get off into a whole thing about history here, but the Statue of Liberty is a symbol of liberty enlightening the world. It's a symbol of American liberty lighting the world. The poem that you're referring to that was added later is not actually part of the original Statue of Liberty. But more fundamentally, the"
2,55.64,59.4,3.76,SPEAKER_01,history... You're saying that does not represent... I'm
3,59.4,65.08,5.68,SPEAKER_02,"saying that I'm saying that the notion, I'm saying the notion that the, I'm saying the notion, I'm"
4,65.08,70.48,5.4,SPEAKER_01,"sorry, no, here, Jim, let me ask you a question. That sounds like some National Park revisionism. No,"
5,70.48,88.44,17.96,SPEAKER_02,"what I'm asking you is, Jim, Jim, let me ask you a question. Jim, Jim, do you believe, Jim, Jim, Jim, Jim, Jim, I appreciate your speech, Jim, I appreciate your speech. So let's, let's talk about this."
6,89.02,89.46,0.44,SPEAKER_01,"Jim,"
7,89.54,105.02,15.48,SPEAKER_02,"let's talk about this. In 1970, when we let in 300,000 people a year, was that violating or not violating the Statue of Liberty law of the land? In 19, in the 1990s, when it was half a million a year, was it violating or not violating the Statue of Liberty law of the land?"
8,105.32,117.66,12.34,SPEAKER_01,"Was it violating... When it was 700,000 a year. No, tell me what years, tell me what years, tell me what years meet, tell me what years meet Jim Acosta's definition of the Statue of Liberty poem"
9,117.66,125.36,7.7,SPEAKER_02,"law of the land. So you're saying a million a year is the Statue of Liberty number. 900,000 violates it, 800,000 violates it. You're"
10,125.36,125.82,0.46,SPEAKER_01,sort of bringing
11,125.82,146.34,20.52,SPEAKER_02,"a press one for English philosophy here to immigration, and that's never been what the United States has been about, Steve. But you're also, your statement's also shockingly ahistorical in another respect, too, which is if you look at the history of immigration, it's actually ebbed and flowed. We've had periods of very large waves, followed by periods of less immigration and more immigration, and during the, we've"
12,146.34,147.8,1.46,SPEAKER_01,"had... We're in a period of immigration right now,"
13,147.82,165.44,17.62,SPEAKER_02,"the president wants to build... Well, a wall, do you want to bring about a sweeping change to immigration? Surely, Jim, you don't actually think that a wall affects green card policy. You couldn't possibly believe that, do you? Actually, the notion that you actually think immigration is a historic law, the foreign-born population of the United States today... Jim, Jim."
14,165.52,168.68,3.16,SPEAKER_01,"Jim, do you"
15,168.68,169.08,0.4,SPEAKER_02,"really,"
16,169.18,172.68,3.5,SPEAKER_01,"I want to be serious, Jim, do you really at CNN not know the difference between"
17,172.68,175.28,2.6,SPEAKER_02,green card policy and illegal immigration? I
18,175.28,176.5,1.22,SPEAKER_01,"mean, you really don't know"
19,176.5,176.78,0.28,SPEAKER_02,"that? Sir, my father was a Cuban"
20,176.78,184.22,7.44,SPEAKER_01,"immigrant. He came to this country in 1960. 1962, right before the Cuban Missile Crisis, and obtained a green card. Yes, people who"
21,184.22,191.4,7.18,SPEAKER_02,"immigrate to this country can eventually... Okay, so, Jim, so, Jim, it's a factual question, Jim. People who immigrate to this country through, not through Ellis Island, as your family"
22,191.4,209.44,18.04,SPEAKER_01,"did, but in other ways, do obtain a green card at some point. They do it through a lot of hard work, and yes, they may learn English as a second language later on in life, but this whole notion of, well, they have to learn English before they get to the United States, are we just going to bring in people from Great Britain and Australia? Oh, yeah. Jim,"
23,209.46,249.9,40.44,SPEAKER_02,"actually, I have to honestly say, I am shocked at your statement that you think that only people from Great Britain and Australia would know English. It's actually, it reveals your cosmopolitan bias to a shocking degree, that in your mind, no, this is an amazing, this is an amazing moment. This is an amazing moment, that you think only people from Great Britain or Australia would speak English is so insulting to millions of hardworking immigrants who do speak English. They speak English from all over the world. Jim, have you honestly, Jim, have you honestly never met an immigrant from another country who speaks English outside of Great Britain and Australia? Is that your personal experience?"
24,250.68,251.14,0.46,SPEAKER_01,But
25,251.14,256.44,5.3,SPEAKER_02,"that's not what you said, and it shows, it shows your cosmopolitan bias. And I just want to say. It sounds like you're"
26,256.44,256.76,0.32,SPEAKER_01,trying to
27,256.76,258.02,1.26,SPEAKER_02,engineer the
28,258.02,260.8,2.78,SPEAKER_01,racial and ethnic flow of people into this country.
29,260.9,296.38,35.48,SPEAKER_02,"Jim, that is one of the most outrageous, insulting, ignorant, and foolish things you've ever said. And for you, that's still a really. The notion that you think that this is a racist bill is so wrong and so insulting. Jim, the reality is, is that the foreign-born population into our country has quadrupled since 1970. That's a fact. It's been mostly driven by green card policy. Now, this bill allows for immediate nuclear family members to come into the country, much as they would today. And then it adds an additional point space system. The people have been hurt the"
30,296.38,297.66,1.28,SPEAKER_01,most. The
31,297.66,312.0,14.34,SPEAKER_02,"people who've been. The people who've been hurt the most by the policy you're advocating are apparently just unfettered, uncontrolled migration. The people who've been hurt the most by the policy."
32,312.92,313.44,0.52,SPEAKER_01,The
33,313.44,323.34,9.9,SPEAKER_02,people who've been hurt the most by the policy that you're. The people who've been hurt the most by the policy you're advocating are immigrant workers and minority workers and African-American workers and Hispanic workers. Are you
34,323.34,323.86,0.52,SPEAKER_00,targeting the
35,323.86,331.94,8.08,SPEAKER_02,African-American community now? You brought it up again. You said you wanted to have a conversation. You said you wanted to have a conversation and not target. Is it going to be a target now? This is what we want to do. If you're using the African
36,331.94,336.1,4.16,SPEAKER_00,"-American community, are you going to target? I'm not trying to be funny,"
